"Height","mlbamid"
72,110001
73,110002
75,110003
72,110004
71,110005
71,110006
70,110008
75,110009
74,110010
72,110011
76,110012
71,110013
74,110014
74,110015
78,110016
74,110017
70,110019
74,110020
76,110021
72,110022
72,110023
73,110025
72,110026
69,110027
72,110028
72,110029
68,110030
72,110031
73,110032
74,110033
76,110034
67,110036
70,110037
77,110038
66,110039
80,110040
72,110042
72,110045
72,110048
66,110049
72,110050
75,110051
69,110052
76,110053
73,110055
72,110056
74,110057
72,110058
72,110059
74,110060
72,110061
71,110062
70,110063
74,110064
69,110065
69,110066
75,110067
79,110068
76,110069
74,110070
76,110071
72,110072
77,110073
68,110074
73,110075
71,110076
74,110077
70,110079
78,110080
72,110082
76,110083
71,110084
74,110085
71,110086
71,110087
74,110088
69,110089
77,110090
76,110091
75,110093
75,110094
76,110095
71,110096
73,110099
74,110100
74,110101
71,110102
71,110103
74,110104
75,110105
74,110106
74,110108
72,110109
73,110110
69,110112
72,110113
77,110114
69,110115
70,110117
76,110118
71,110119
75,110120
75,110123
75,110124
74,110125
71,110126
73,110127
72,110128
70,110129
71,110130
77,110134
71,110135
69,110136
77,110137
73,110138
72,110139
72,110140
73,110142
73,110143
69,110144
72,110145
71,110146
64,110147
72,110148
72,110149
73,110151
72,110152
71,110153
73,110154
68,110155
74,110156
71,110157
70,110158
73,110159
71,110160
74,110161
73,110162
75,110163
71,110164
72,110165
72,110166
73,110167
72,110168
70,110169
68,110170
75,110171
73,110173
70,110174
76,110176
72,110177
72,110178
74,110179
69,110180
75,110181
74,110182
72,110183
75,110184
69,110185
72,110186
74,110187
69,110188
75,110189
70,110190
74,110191
77,110192
74,110193
72,110194
72,110195
72,110196
69,110197
76,110199
72,110200
70,110201
69,110203
75,110204
72,110205
70,110206
70,110207
71,110208
73,110209
71,110210
70,110211
75,110212
71,110213
72,110214
70,110215
71,110216
71,110218
69,110220
75,110221
73,110223
75,110224
71,110225
72,110226
71,110227
75,110228
73,110229
73,110230
74,110231
71,110233
73,110235
75,110236
68,110237
69,110238
71,110239
75,110240
72,110241
73,110242
74,110243
74,110244
75,110245
73,110246
75,110247
74,110248
75,110249
74,110250
72,110251
74,110252
78,110254
